post_name , post_start_date , post_end_date , post_place , post_address , post_description , post_image_src
Η παράσταση «Μικροί Κύριοι – Μικρές Κυρίες  Η δύναμη της φιλίας» στο Θέατρο Σοφούλη,2019-09-15,2019-12-29,Θέατρο Σοφούλη,Τραπεζούντος 5 & Σοφούλη, Καλαμαριά,Οι ήρωες των παιδικών μας χρόνων οι «Μικροί Κύριοι – Μικρές Κυρίες» έγιναν θεατρική παράσταση και άνοιξαν αυλαία την Κυριακή 15 Σεπτεμβρίου 2019 στο Θέατρο Σοφούλη στη Θεσσαλονίκη δίνοντας την ευκαιρία σε όλα τα παιδιά να συμμετάσχουν στην παράσταση αφού  είναι μια διαδραστική παραγωγή...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/07/sofouli-mikroi-kirioi-360x202.jpg
Ο Πήτερ Παν του J.M. Barrie στο Θέατρο Αυλαία,2019-09-22,2019-11-24,Θέατρο Αυλαία,Πλατεία ΧΑΝΘ, Θεσσαλονίκη,Ο Πήτερ Παν και η νεράιδα του η Τίγκερ Μπελ μέσα από τη διασκευή και τη σκηνοθετική επιμέλεια του Δημήτρη Αδάμη θα μοιραστούν μαζί μας την ιστορία των Χαμένων Παιδιών και του Κάπτεν Χουκ στο θέατρο Αυλαία στη Θεσσαλονίκη από την Κυριακή 22...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/09/peter-pan-aulaia-360x202.jpg
Ο Δαίδαλος και ο Ίκαρος από τον Σεπτέμβριο στο Radio City,2019-09-29,2019-11-24,Ράδιο Σίτυ,Παρασκευοπούλου 9, Θεσσαλονίκη,Σε μια ευφάνταστη θεατρική παράσταση η Παιδική Σκηνή Θεσσαλονίκης θα μας διηγηθεί στη σκηνή του Ράδιο Σίτυ την ιστορία του Δαίδαλου και του ΄Ικαρου και πως ξέφυγαν από τον λαβύρινθο του βασιλιά Μίνωα πετώντας πάνω από το Αιγαίο με κέρινα φτερά κάθε Κυριακή...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/07/daidalos-kai-ikaros-radio-situ-360x202.jpg
Ο Δαίδαλος και ο Ίκαρος από τον Σεπτέμβριο στο Radio City,2019-09-29,2019-11-24,Ράδιο Σίτυ,Παρασκευοπούλου 9, Θεσσαλονίκη,Σε μια ευφάνταστη θεατρική παράσταση η Παιδική Σκηνή Θεσσαλονίκης θα μας διηγηθεί στη σκηνή του Ράδιο Σίτυ την ιστορία του Δαίδαλου και του ΄Ικαρου και πως ξέφυγαν από τον λαβύρινθο του βασιλιά Μίνωα πετώντας πάνω από το Αιγαίο με κέρινα φτερά κάθε Κυριακή...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/07/daidalos-kai-ikaros-radio-situ-360x202.jpg
ΚΘΒΕ «Υπηρέτης Δύο Αφεντάδων» – Β΄Εκδοχή στο Βασιλικό Θέατρο,2019-10-05,2019-11-30,Βασιλικό Θέατρο,Πλατεία Λευκού Πύργου,Ο παμπόνηρος Τρουφαλντίνο ο «Υπηρέτης Δύο Αφεντάδων» – Β΄Εκδοχή του Κάρλο Γκολντόνι μετά την περσινή επιτυχία του και την αγάπη που εισέπραξε από το θεατρόφιλο κοινό της Θεσσαλονίκης φέτος θα μετακομίσει στο Βασιλικό Θέατρο στη σκηνή του οποίου θα κάνει πρεμιέρα το Σάββατο...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/06/ypiretis-duo-afentadwn-kthv-360x202.jpg
,,,,,,
«Θεογονία Η Αρχή του Κόσμου» στο Κολοσσαίον,2019-10-06,2019-12-29,Κολοσσαίον,Λεωφόρος Βασιλίσσης Όλγας 150 Θεσσαλονίκη,Η παράσταση «Θεογονία Η Αρχή του Κόσμου» που θα ανέβει στο Κινηματοθέατρο Κολοσσαίον στη Θεσσαλονίκη από την Κυριακή 6 Οκτωβρίου και κάθε Κυριακή έως τις 29 Δεκεμβρίου 2019 θα μας μεταφέρει τον μύθο που περιγράφει την θεογονία των Ελλήνων. Η γέννηση που περιέχει...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/07/theogonia-koloasaion-360x202.jpg
Ο «Φαέθων» του Δημήτρη Δημητριάδη Συγκλονίζει για 2η Χρονιά,2019-10-09,2019-11-10,Λαογραφικό & Εθνολογικό Μουσείο Μακεδονίας – Θράκης,Βασ. Όλγας 68, Θεσσαλονίκη,Το συγκλονιστικό οικογενειακό δράμα «Φαέθων» του Δημήτρη Δημητριάδη μετά την περσινή επιτυχία και την συμμετοχή του στα 54α Δημήτρια επιστρέφει με νέο κύκλο παραστάσεων στο Λαογραφικό και Εθνολογικό Μουσείο Μακεδονίας-Θράκης από την Παρασκευή 18 Οκτωβρίου έως και την Κυριακή 10 Νοεμβρίου 2019. Μια...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/04/faethwn-dhmhtriadh-laografiko-mouseio-360x202.jpg
«Ο Βαφτιστικός της Κυρίας» στο Θέατρο Αριστοτέλειον,2019-10-11,2019-11-03,Θέατρο Αριστοτέλειον,Εθνικής Αμύνης 2, Θεσσαλονίκη,Ο Χάρης Ρώμας μετέφρασε και διασκεύασε τη γνωστή γαλλική φάρσα «Βαφτιστικός της Κυρίας» των Maurice Hennequin Pierre Veber και Henry de Gorsse και συνεχίζοντας την περσινή μεγάλη καλλιτεχνική επιτυχία της παράστασης έρχεται στο Θέατρο Αριστοτέλειον στη Θεσσαλονίκη και κάνει πρεμιέρα την Παρασκευή 11 Οκτωβρίου 2019....,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/09/vaftistikos-360x202.jpg
,,,,,,
ΚΘΒΕ Η Μεγάλη Πλατεία του Νίκου Μπακόλα στη Μονή Λαζαριστών,2019-10-12,2019-11-29,Μονή Λαζαριστών – Σκηνή Σωκράτης Καραντινός,Κολοκοτρώνη 25-27, Σταυρούπολη,Το εμβληματικό έργο του Νίκου Μπακόλα «Η Μεγάλη Πλατεία» ένα μυθιστόρημα με επίκεντρο τη μεταπολεμική Θεσσαλονίκη έρχεται στη σκηνή Σωκράτης Καραντινός στη Μονής Λαζαριστών το Σάββατο 12 Οκτωβρίου 2019 σε θεατρική διασκευή Άκη Δήμου. Το ΚΘΒΕ τιμά φέτος το Νίκο Μπακόλα και το...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/06/megalh-plateia-360x202.jpg
ΚΘΒΕ «Ο Μεγάλος Περίπατος του Πέτρου» για 2ο χρόνο στο Βασιλικό Θέατρο,2019-10-13,2020-01-01,Βασιλικό Θέατρο,Πλατεία Λευκού Πύργου,«Ο Μεγάλος Περίπατος του Πέτρου» της Άλκης Ζέη ένα βιβλίο που αγαπήσαμε όλοι μια παράσταση που έκλεψε τις καρδιές μας μας περιμένει για δεύτερη χρονιά από την Κυριακή 13 Οκτωβρίου 2019 στην Παιδική Σκηνή του Βασιλικού Θεάτρου. Σε σκηνοθεσία Τάκη Τζαρμαγιά και στον...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/08/megalos-peripatos-tou-petro-360x202.jpg
ΚΘΒΕ «Ο Ελέφας» – 2ος χρόνος στο Μικρό Θέατρο Μονής Λαζαριστών,2019-10-17,2019-11-30,Μικρό Θέατρο Μονής Λαζαριστών,Κολοκοτρώνη 25-27, Σταυρούπολη,Για δεύτερη χρονιά η ανατρεπτική παράσταση «Ο Ελέφας» του Κώστα Βοσταντζόγλου που αγαπήθηκε από το κοινό και τους κριτικούς επιστρέφει την Πέμπτη 17 Οκτωβρίου 2019 στο Μικρό Θέατρο Μονής Λαζαριστών σε σκηνοθεσία Γιάννη Λεοντάρη και μας υπόσχεται να απολαύσουμε ένα βουκολικό μιούζικαλ ένα...,https://thessaloniki.b-cdn.net/wp-content/uploads/2019/02/elefas-kratiko-theatro-2019-360x202.jpg
